;ID;Materia;Link
82;3303;Modelagem de Sistemas (11100010850_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3303_1&handle=announcements_entry&mode=view
83;3304;Modelagem de Sistemas (11100010850_20221_03) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3304_1&handle=announcements_entry&mode=view
84;3305;Modelagem de Sistemas (11100010850_20221_04) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3305_1&handle=announcements_entry&mode=view
85;3307;Movimento Humano: Tecnologias Digitais de Comunicação e Informação (11100011050_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3307_1&handle=announcements_entry&mode=view
86;3308;Pensamento Criativo (11100010122_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3308_1&handle=announcements_entry&mode=view
87;3310;Pensamento Criativo (11100010331_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3310_1&handle=announcements_entry&mode=view
88;3311;Pensamento Criativo (11100010593_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3311_1&handle=announcements_entry&mode=view
89;3314;Planejamento da cadeia suprimentos (SCOR) (11100010595_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3314_1&handle=announcements_entry&mode=view
90;3316;Políticas e Inovação em Tecnologia da Informação (11100010699_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3316_1&handle=announcements_entry&mode=view
91;3319;Prática Discursiva de Língua Inglesa: Gêneros Jornalísticos e Publicitários (11100010267_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3319_1&handle=announcements_entry&mode=view
92;3320;Prática Profissional: Laboratório de Físico-Química (11100010525_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3320_1&handle=announcements_entry&mode=view
93;3325;Práticas em Gestão: Modelagem Organizacional (11100010144_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3325_1&handle=announcements_entry&mode=view
94;3327;Procedimentos estéticos manuais aplicados a estética facial (11100010818_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3327_1&handle=announcements_entry&mode=view
95;3328;Procedimentos estéticos manuais aplicados a estética facial (11100010818_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3328_1&handle=announcements_entry&mode=view
96;3329;Procedimentos estéticos pré e pós operatórios (11100010819_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3329_1&handle=announcements_entry&mode=view
97;3330;Procedimentos estéticos pré e pós operatórios (11100010819_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3330_1&handle=announcements_entry&mode=view
98;3333;Programação Imperativa (11100011030_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3333_1&handle=announcements_entry&mode=view
99;3335;Psicologia da Religião (11100010454_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3335_1&handle=announcements_entry&mode=view
100;3336;Raciocínio Computacional (11100010563_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3336_1&handle=announcements_entry&mode=view
101;3337;Raciocínio Computacional (11100010563_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3337_1&handle=announcements_entry&mode=view
102;3339;Religião, Mídias e Redes Sociais (11100010443_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3339_1&handle=announcements_entry&mode=view
103;3340;Segurança da Informação (11100010710_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3340_1&handle=announcements_entry&mode=view
104;3341;Semântica (11100010279_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3341_1&handle=announcements_entry&mode=view
105;3342;Sintaxe: Fundamentos de Análise e Descrição (11100010281_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3342_1&handle=announcements_entry&mode=view
106;3343;Sistemas Web Seguros (11100010565_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3343_1&handle=announcements_entry&mode=view
107;3344;Sistematização das Informações Contábeis (11100010162_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3344_1&handle=announcements_entry&mode=view
108;3347;Sustentabilidade em Negócios (11100010134_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3347_1&handle=announcements_entry&mode=view
109;3351;Temas de Literatura Brasileira (11100010280_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3351_1&handle=announcements_entry&mode=view
110;3352;Termodinâmica (11100010534_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3352_1&handle=announcements_entry&mode=view
111;3353;Verificação e Validação (11100010711_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3353_1&handle=announcements_entry&mode=view
112;3360;Princípios Básicos de Finanças (11100011275_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3360_1&handle=announcements_entry&mode=view
113;3361;Normalização de Trabalhos Acadêmicos - Segundo a ABNT - 2022/1 ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3361_1&handle=announcements_entry&mode=view
114;3362;Comunidade de Tecnologia em Inteligência Artificial Aplicada ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3362_1&handle=announcements_entry&mode=view
115;3369;Eu, não Robô: Gestão de Pessoas e Orientação para Servir (11100011276_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3369_1&handle=announcements_entry&mode=view
116;3371;Eu, não Robô: Pensamento Crítico e Flexibilidade Cognitiva (11100011278_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3371_1&handle=announcements_entry&mode=view
117;3372;Educação, Identidade e Solidariedade (11100010601_20221_04) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3372_1&handle=announcements_entry&mode=view
118;3385;Curso Obrigatório para os Estágios Curriculares Supervisionados - Educação Física (11100011279_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3385_1&handle=announcements_entry&mode=view
119;3389;Experiência Criativa: Navegando pela Engenharia de Software (11100011147_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3389_1&handle=announcements_entry&mode=view
120;3408;Leitura e Escrita Acadêmica (11100010848_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3408_1&handle=announcements_entry&mode=view
121;3409;Raciocínio Algorítmico (11100011146_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3409_1&handle=announcements_entry&mode=view
122;3416;Experiência Criativa: Navegando pela Engenharia de Software (11100010683_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3416_1&handle=announcements_entry&mode=view
123;3417;Experiência Criativa: Navegando pela Engenharia de Software (11100010683_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3417_1&handle=announcements_entry&mode=view
124;3421;Química dos Materiais (11100010839_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3421_1&handle=announcements_entry&mode=view
125;3435;Química dos Materiais (11100010839_20221_15) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3435_1&handle=announcements_entry&mode=view
126;3455;Análise Financeira (11100010345_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3455_1&handle=announcements_entry&mode=view
127;3554;Análise Financeira (11100010136_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3554_1&handle=announcements_entry&mode=view
128;3566;Ciências da Religião e Teologia (11100010456_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3566_1&handle=announcements_entry&mode=view
129;3567;Cloud Computing (11100010547_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3567_1&handle=announcements_entry&mode=view
130;3568;Comunicação Aplicada (11100010580_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3568_1&handle=announcements_entry&mode=view
131;3569;Contabilidade de Custos (11100010164_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3569_1&handle=announcements_entry&mode=view
132;3571;Controladoria e Governança (11100010165_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3571_1&handle=announcements_entry&mode=view
133;3572;Corpo: Cultura e Sociedade (11100010422_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3572_1&handle=announcements_entry&mode=view
134;3573;Demonstrações Contábeis (11100010334_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3573_1&handle=announcements_entry&mode=view
135;3575;Direito Empresarial (11100010357_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3575_1&handle=announcements_entry&mode=view
136;3576;Direito Empresarial (11100010148_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3576_1&handle=announcements_entry&mode=view
137;3577;Educação Física na Infância (11100010208_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3577_1&handle=announcements_entry&mode=view
